,ids,tickers,company_names,dates,year
0,5138263.F,LUV,Southwest Airlines Co,22-Jan-15 5:30pm GMT,2015
1,5436552.F,LUV,Southwest Airlines Co,23-Apr-15 4:30pm GMT,2015
2,5436557.F,LUV,Southwest Airlines Co,23-Jul-15 4:30pm GMT,2015
3,5436569.F,LUV,Southwest Airlines Co,22-Oct-15 4:30pm GMT,2015
4,5619337.F,LUV,Southwest Airlines Co,11-Feb-15 3:45pm GMT,2015
5,5630312.F,LUV,Southwest Airlines Co,3-Mar-15 5:15pm GMT,2015
6,5709972.F,LUV,Southwest Airlines Co,19-May-15 12:00pm GMT,2015
7,5818136.F,LUV,Southwest Airlines Co,18-Sep-15 3:45pm GMT,2015
8,5881606.F,LUV,Southwest Airlines Co,10-Dec-15 6:00pm GMT,2015
9,5436572.F,LUV,Southwest Airlines Co,21-Jan-16 5:30pm GMT,2016
10,5765381.F,LUV,Southwest Airlines Co,21-Apr-16 4:30pm GMT,2016
11,5765383.F,LUV,Southwest Airlines Co,21-Jul-16 4:30pm GMT,2016
12,5765384.F,LUV,Southwest Airlines Co,26-Oct-16 4:30pm GMT,2016
13,5938958.F,LUV,Southwest Airlines Co,8-Mar-16 8:15pm GMT,2016
14,6045550.F,LUV,Southwest Airlines Co,23-Jun-16 4:00pm GMT,2016
15,6097289.F,LUV,Southwest Airlines Co,7-Sep-16 2:55pm GMT,2016
16,10444961.F,LUV,Southwest Airlines Co,7-Jun-17 3:00pm GMT,2017
17,10879138.F,LUV,Southwest Airlines Co,6-Sep-17 1:45pm GMT,2017
18,5765390.F,LUV,Southwest Airlines Co,26-Jan-17 5:30pm GMT,2017
19,6013481.F,LUV,Southwest Airlines Co,26-Oct-17 4:30pm GMT,2017
20,6013487.F,LUV,Southwest Airlines Co,27-Jul-17 4:30pm GMT,2017
21,6013493.F,LUV,Southwest Airlines Co,27-Apr-17 4:30pm GMT,2017
22,8025600.F,LUV,Southwest Airlines Co,15-Feb-17 2:55pm GMT,2017
23,9917081.F,LUV,Southwest Airlines Co,17-May-17 4:00pm GMT,2017
24,11231793.F,LUV,Southwest Airlines Co,26-Apr-18 4:30pm GMT,2018
25,11231795.F,LUV,Southwest Airlines Co,26-Jul-18 4:30pm GMT,2018
26,11237156.F,LUV,Southwest Airlines Co,25-Oct-18 4:30pm GMT,2018
27,11469915.F,LUV,Southwest Airlines Co,16-May-18 2:00pm GMT,2018
28,6013497.F,LUV,Southwest Airlines Co,25-Jan-18 5:30pm GMT,2018
29,11237163.F,LUV,Southwest Airlines Co,24-Jan-19 5:30pm GMT,2019
30,12355814.F,LUV,Southwest Airlines Co,5-Mar-19 1:45pm GMT,2019
31,5163866.F,TAP,Molson Coors Brewing Co,10-Feb-15 4:00pm GMT,2015
32,5202846.F,TAP,Molson Coors Brewing Co,7-May-15 3:00pm GMT,2015
33,5202848.F,TAP,Molson Coors Brewing Co,6-Aug-15 3:00pm GMT,2015
34,5202850.F,TAP,Molson Coors Brewing Co,5-Nov-15 4:00pm GMT,2015
35,5600698.F,TAP,Molson Coors Brewing Co,10-Feb-15 6:00pm GMT,2015
36,5680812.F,TAP,Molson Coors Brewing Co,7-May-15 5:00pm GMT,2015
37,5698893.F,TAP,Molson Coors Brewing Co,12-May-15 2:05pm GMT,2015
38,5745765.F,TAP,Molson Coors Brewing Co,17-Jun-15 5:30pm GMT,2015
39,5768542.F,TAP,Molson Coors Brewing Co,6-Aug-15 5:00pm GMT,2015
40,5787583.F,TAP,Molson Coors Brewing Co,10-Sep-15 1:45pm GMT,2015
41,5833489.F,TAP,Molson Coors Brewing Co,5-Nov-15 6:00pm GMT,2015
42,5864965.F,TAP,Molson Coors Brewing Co,11-Nov-15 2:00pm GMT,2015
43,5633677.F,TAP,Molson Coors Brewing Co,11-Feb-16 4:00pm GMT,2016
44,5824557.F,TAP,Molson Coors Brewing Co,3-May-16 3:00pm GMT,2016
45,5824559.F,TAP,Molson Coors Brewing Co,2-Aug-16 3:00pm GMT,2016
46,5824562.F,TAP,Molson Coors Brewing Co,1-Nov-16 3:00pm GMT,2016
47,5903804.F,TAP,Molson Coors Brewing Co,11-Feb-16 6:00pm GMT,2016
48,5975815.F,TAP,Molson Coors Brewing Co,3-May-16 5:00pm GMT,2016
49,6000048.F,TAP,Molson Coors Brewing Co,8-Jun-16 5:00pm GMT,2016
50,6054271.F,TAP,Molson Coors Brewing Co,2-Aug-16 5:00pm GMT,2016
51,6071398.F,TAP,Molson Coors Brewing Co,7-Sep-16 1:00pm GMT,2016
52,6126364.F,TAP,Molson Coors Brewing Co,1-Nov-16 5:00pm GMT,2016
53,10130999.F,TAP,Molson Coors Brewing Co,17-May-17 3:00pm GMT,2017
54,10781147.F,TAP,Molson Coors Brewing Co,6-Sep-17 1:00pm GMT,2017
55,5824564.F,TAP,Molson Coors Brewing Co,14-Feb-17 4:00pm GMT,2017
56,7567016.F,TAP,Molson Coors Brewing Co,14-Feb-17 6:00pm GMT,2017
57,8357353.F,TAP,Molson Coors Brewing Co,8-Mar-17 1:15pm GMT,2017
58,9543979.F,TAP,Molson Coors Brewing Co,3-May-17 3:00pm GMT,2017
59,9544108.F,TAP,Molson Coors Brewing Co,3-May-17 5:00pm GMT,2017
60,9544165.F,TAP,Molson Coors Brewing Co,7-Jun-17 5:30pm GMT,2017
61,9544269.F,TAP,Molson Coors Brewing Co,2-Aug-17 3:00pm GMT,2017
62,9544359.F,TAP,Molson Coors Brewing Co,1-Nov-17 3:00pm GMT,2017
63,11002458.F,TAP,Molson Coors Brewing Co,14-Feb-18 4:00pm GMT,2018
64,11002461.F,TAP,Molson Coors Brewing Co,2-May-18 3:00pm GMT,2018
65,11002464.F,TAP,Molson Coors Brewing Co,31-Oct-18 3:00pm GMT,2018
66,11002466.F,TAP,Molson Coors Brewing Co,1-Aug-18 3:00pm GMT,2018
67,11469068.F,TAP,Molson Coors Brewing Co,23-May-18 5:00pm GMT,2018
68,11488352.F,TAP,Molson Coors Brewing Co,6-Jun-18 5:30pm GMT,2018
69,11528298.F,TAP,Molson Coors Brewing Co,13-Jun-18 9:15am GMT,2018
70,11692437.F,TAP,Molson Coors Brewing Co,5-Sep-18 1:45pm GMT,2018
71,11771453.F,TAP,Molson Coors Brewing Co,12-Feb-19 4:00pm GMT,2019
72,5202512.F,TSN,Tyson Foods Inc,30-Jan-15 2:00pm GMT,2015
73,5202516.F,TSN,Tyson Foods Inc,4-May-15 1:00pm GMT,2015
74,5202524.F,TSN,Tyson Foods Inc,3-Aug-15 1:00pm GMT,2015
75,5202527.F,TSN,Tyson Foods Inc,23-Nov-15 2:00pm GMT,2015
76,5644661.F,TSN,Tyson Foods Inc,18-Mar-15 8:15am GMT,2015
