innovation,integrity,quality,respect,teamwork,document_length,Doc_ID
0,0,0,0,0,0,
31,8,39,9,4,1978,10346313
78,1,25,0,5,1617,11171649
38,1,29,5,4,1392,11171683
18,4,17,1,2,1262,11189369
13,1,22,1,3,1478,11189371
29,6,40,3,12,1910,11189372
70,19,46,9,12,3291,5138263
3,5,13,0,3,680,5157993
16,7,22,1,8,1992,5157996
38,5,40,1,8,2024,5157998
5,2,4,5,1,370,5158001
84,7,82,15,7,2847,5158014
39,9,35,2,7,3097,5158020
50,6,63,2,13,2558,5158023
72,1,91,2,11,3182,5158028
58,4,27,11,6,1888,5163866
26,4,24,1,6,2258,5172384
60,8,38,13,10,2993,5180624
85,9,74,3,5,3276,5202512
98,9,74,3,14,3426,5202516
81,5,91,1,6,3399,5202524
74,2,44,3,18,2555,5202527
51,16,26,18,8,1887,5202846
49,5,29,16,11,2503,5202848
106,4,51,6,9,3042,5202850
204,67,295,35,37,9813,5226572
78,33,38,38,37,3216,5231367
42,7,37,3,5,2661,5241486
3,0,0,0,0,214,5245249
60,4,61,7,11,3042,5255439
23,3,15,2,3,1322,5257230
43,10,18,7,19,2609,5257423
100,14,90,28,29,3538,5259090
54,5,61,7,5,2814,5260987
20,4,17,1,6,2123,5264102
54,19,47,3,9,2919,5265361
120,8,74,3,10,2847,5268031
64,27,49,17,12,3614,5273665
61,13,72,11,7,2480,5275909
49,10,57,4,19,1692,5277281
33,20,75,8,19,4412,5281241
10,21,7,1,21,2447,5281247
49,20,22,13,18,3178,5281249
25,5,13,3,14,2730,5281252
34,6,20,2,10,2432,5282862
19,5,24,3,7,1990,5290450
24,6,20,6,7,1864,5290453
17,2,19,3,7,2025,5290461
36,6,35,15,17,3331,5290464
33,9,39,21,16,2645,5290476
58,11,30,5,9,2510,5290742
46,6,36,6,4,1531,5293485
69,19,60,9,15,3904,5297462
46,22,39,3,9,2784,5309761
45,8,36,3,4,1642,5309764
53,8,47,6,9,2217,5309766
14,12,13,2,1,1488,5309768
23,12,28,22,9,1840,5314215
88,4,32,3,6,2244,5314738
150,7,65,8,15,2446,5314763
154,14,38,1,6,3054,5314765
50,11,65,7,12,3731,5317245
33,10,34,5,17,1789,5322992
75,5,64,18,17,2921,5325621
110,5,130,32,12,3695,5332947
32,3,43,8,13,1983,5337621
47,11,36,6,8,2216,5339735
52,8,89,13,7,4798,5341546
55,10,87,13,5,3507,5343544
46,1,38,13,7,1974,5344504
121,19,95,19,9,3279,5345820
69,13,74,32,22,3973,5346965
59,23,51,8,17,3552,5350985
115,10,87,19,15,3195,5352448
10,3,10,0,1,1120,5353392
86,10,107,20,16,3587,5357477
82,12,96,23,13,3164,5357491
37,8,22,0,4,2113,5358913
41,10,75,26,14,2919,5361033
63,8,59,7,3,2343,5361768
234,27,188,93,87,8399,5367767
80,9,99,33,23,3743,5367770
103,8,42,3,12,2460,5373589
80,8,34,15,13,2511,5373592
85,7,53,10,9,2551,5373597
16,5,9,2,7,1414,5380742
17,5,41,1,10,1831,5383910
64,5,59,5,2,2930,5390401
60,7,103,6,23,2978,5390404
80,4,99,4,1,3360,5390406
99,6,109,29,18,4004,5390408
32,6,26,30,12,1768,5391091
22,25,40,8,13,2572,5398250
29,20,37,13,23,2810,5398255
50,15,40,6,25,2460,5399083
25,4,32,3,3,2374,5408510
31,7,82,9,16,2315,5408513
104,14,39,9,15,2993,5408997
50,10,41,5,5,2369,5409000
97,5,48,6,24,2187,5409004
88,12,44,6,10,2141,5409007
29,11,73,21,17,2465,5409236
27,9,48,4,3,2125,5409243
96,16,77,15,21,3608,5422218
13,2,9,0,2,1188,5422242
31,8,43,19,9,2612,5430311
81,45,79,10,21,5739,5431826
49,6,32,5,3,2883,5432448
69,10,37,10,9,3955,5432598
111,13,59,15,26,5017,5432601
82,5,54,9,11,2645,5434907
155,12,85,22,24,3150,5434925
126,6,76,20,7,3151,5434928
135,9,87,14,13,2666,5434931
21,4,23,15,8,1055,5434952
74,9,50,6,9,3681,5436552
52,17,45,3,19,3238,5436557
103,27,51,10,19,3617,5436569
37,6,28,11,6,1951,5438959
22,9,38,5,6,2854,5439004
177,28,179,37,23,4899,5441688
146,25,168,39,10,4465,5441690
88,11,110,12,21,3767,5441692
112,16,86,23,28,4006,5444282
23,1,19,0,6,1931,5444283
65,7,33,1,6,3069,5444284
76,4,42,20,27,3681,5444289
87,5,62,11,20,3419,5444640
62,5,42,7,12,1957,5445116
25,3,32,4,5,2041,5445118
57,17,85,14,18,2859,5445121
41,11,38,8,12,2242,5445122
30,1,38,2,9,1570,5453283
20,0,27,0,1,1048,5453285
36,2,39,0,2,1812,5453287
43,3,53,3,7,2258,5453289
56,8,53,6,5,2981,5456363
51,7,39,11,30,3884,5457164
35,9,40,2,22,2516,5457169
23,8,52,3,8,3184,5457173
31,6,42,12,20,2703,5457175
42,2,39,8,6,2211,5461899
23,2,28,11,4,1451,5461904
41,1,46,8,5,2145,5461907
30,3,11,5,15,2422,5464586
70,2,87,6,13,2241,5468321
121,26,140,19,19,4181,5476564
54,12,53,15,18,3145,5476592
36,9,36,6,4,1735,5478537
42,4,55,4,14,2295,5482006
49,5,61,4,11,2424,5482013
106,10,64,8,7,3572,5482022
54,40,89,36,13,2608,5482179
44,5,22,6,5,2289,5484046
66,9,44,7,9,3051,5486854
57,8,37,5,4,2681,5486857
98,15,106,23,12,4736,5486967
35,6,68,7,10,4083,5486969
95,17,118,7,19,4339,5486971
89,6,44,13,33,3729,5487612
102,60,78,57,42,3693,5488145
83,10,59,2,10,2859,5489388
53,4,41,3,10,2335,5489390
41,4,32,16,15,2816,5490908
70,10,43,15,19,2480,5490910
42,2,21,5,8,1882,5490913
36,11,20,2,7,2848,5492698
60,6,52,7,1,2758,5495803
61,9,56,12,8,2979,5495806
79,17,85,22,10,3271,5495809
114,15,57,25,9,4493,5495861
40,2,36,4,9,2269,5495963
33,5,48,17,8,3306,5496307
7,5,22,5,6,1076,5496368
4,0,15,2,13,798,5496413
2,7,15,0,6,524,5496417
60,17,76,19,9,3462,5496434
16,11,29,6,9,1770,5496443
17,8,30,5,6,1570,5496446
11,18,28,6,4,1622,5496448
71,9,34,7,15,2666,5496510
45,12,48,6,8,2597,5497543
12,1,19,2,2,2158,5498103
36,17,41,7,3,2342,5499179
79,30,86,16,13,4808,5499182
39,34,52,18,12,3012,5499183
85,17,65,28,14,2946,5499785
65,13,43,14,11,3013,5499788
87,16,57,23,9,3125,5499791
65,10,60,22,11,3020,5499793
